comment_id,show_source,source_video_id,source_video_title,comment_text,comment_url,is_edge_case,edge_case_component,my_sentiment,my_depth,my_parasocial,my_behavioural_change,my_substantive_engagement,my_returning_listener,my_label_confidence,notes
001,lex_fridman,vif8NQcjVf1,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #495,This video and audio quality is fire,https://www.youtube.com/watch?v=vif8NQcjVf0&lc=UgxilxT1lzpJt4HyRDV4AaABAg,No,,positive,shallow,no,no,yes,no,high,
002,lex_fridman,vif8NQcjVf2,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #496,"Appreciate the work, mate.... NVIDIA Biggest competitor coming soon from me ... I hope NVIDIA is prepared",https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugxr3lIpYiH6203D7594AaABAg,Yes,multiple,positive,shallow,yes,no,no,no,medium,
003,lex_fridman,vif8NQcjVf2,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #497,USED TO LOVE LEX UNTIL HE SHOWED HIMSELF TO BE A TOTAL FUCKING IDIOT.,https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugw3u-sOnmdyCw5WoL94AaABAg,Yes,parasocial,negative,shallow,no,yes,no,yes,high,
004,lex_fridman,vif8NQcjVf2,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #498,Lex looks younger than he did when he started this podcast! Good work sir!,https://www.youtube.com/watch?v=vif8NQcjVf0&lc=UgwwNLZlQ_GPWUh2jM54AaABAg,No,,positive,deep,yes,no,yes,yes,high,
005,lex_fridman,vif8NQcjVf3,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #499,"I respectfully disagree. Jensen himself admits that the odds of agents building a company of Nvidia's complexity are 0%. If a system cannot replicate the multi-disciplinary, long-term strategic reasoning required to build a complex hardware-software ecosystem like Nvidia, it suggests we are still in the era of ""Narrow"" or ""Task-Oriented"" AI, rather than ""General"" AI.",https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugw6zrxyCyIMGUvhdJ94AaABAg,No,,excluded,deep,no,no,yes,no,high,
006,lex_fridman,vif8NQcjVf4,Jensen Huang: NVIDIA - The $4 Trillion Company & the AI Revolution | Lex Fridman Podcast #500,"Amazing interview, love the ending.",https://www.youtube.com/watch?v=vif8NQcjVf0&lc=Ugz0CTYKzebt1PBPXYJ4AaABAg,No,,positive,shallow,no,no,yes,no,high,
007,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #485",I'm a physics professor. I was so bored at the start and by the end I wanted to leave academia to go work at Helion. This guy's enthusiasm is contagious.,https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgyKRqaWxnEDlDI2UKt4AaABAg,Yes,behavioural,positive,deep,no,yes,yes,no,high,
008,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #486","I love how David talks about building a bunch of prototypes and that in the long run you make more progress.
That is why SpaceX is so successful.  There first Starship prototype was thought to be a water tower.  Arguments went on for weeks until one day is was clear to everyone it was a rocket.  SpaceX then went about building and blowing up a lot of prototypes and now Starship is finally building block 3 which will be production.     Wish the best to David and his team and keep those prototypes going until you're finally ready to build a working generator that can power a datacenter.  That will be very cool to see.",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgwFONJJjat-gAzKivV4AaABAg,No,,excluded,deep,no,no,yes,no,high,
009,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #487","Why does lex have so many advertisements, Joe Rogan is at most 2, these go on forever",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgwxBYhGtuV1XCSX4A94AaABAg,Yes,returning,negative,shallow,no,no,yes,yes,medium,
010,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #488",Lots of talk. No result,https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=Ugy2vMPuUIKDdF-BfBt4AaABAg,No,,negative,shallow,no,no,yes,no,high,
011,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #489","I'm currently in 9th grade, and discovered a video featuring Helion while in Science class on YouTube. XD Ever since that, I've been really intrigued and interested in nuclear fusion and fission. My dad listens to your podcasts, and I just happened to overhear him playing this, which is why I am now here, listening to this podcast. I usually don't listen to podcasts, but this has piqued my interest. Thank you, Lex. : >",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=UgxvVSsdi9D5RZuEueR4AaABAg,Yes,behavioural,positive,deep,yes,yes,yes,no,high,
012,lex_fridman,m_CFCyc2Shs,"David Kirtley: Nuclear Fusion, Plasma Physics, and the Future of Energy | Lex Fridman Podcast #490","I loved this podcast. I am a regular guy, retired laborer, fascinated with all that Dr Kirtly talked about. He is so energetic and somewhat easy to understand. I would like to see more podcasts like this. Thank you!",https://www.youtube.com/watch?v=m_CFCyc2Shs&lc=Ugwx6H1-qTEKVyhHfCR4AaABAg,No,,positive,deep,no,no,yes,no,high,
013,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #487",This podcast has become 1D,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=UgwFM7SuVsAXE28m4eJ4AaABAg,Yes,returning,negative,shallow,no,no,no,yes,medium,
014,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #488",Great conversation!!,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=Ugzrat0SHLM-GpR-CCp4AaABAg,No,,positive,shallow,no,no,no,no,high,
015,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #489",What was this picture of films and books? 2:00:03,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=Ugxxporhe5IDBeUwCGh4AaABAg,Yes,behavioural,neutral,shallow,no,yes,yes,no,medium,
016,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #490",This video changed my life. And I could listen to this man talk for any amount of time.,https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=UgyyVUt93M6OnW27A4d4AaABAg,No,,positive,shallow,no,yes,yes,no,medium,
017,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #491","1:03:35 ""We're all infantile..."" because our culture (especially Western/American culture) does not have mechanisms or expectations that actually move the majority of people to grow into truly Mature human beings. Most of our ideas about ""human nature"" are based on our observations of immature humans, and thinking, ""That's as good as it gets."" This becomes more obvious if you have had reason or opportunity to mature beyond that ""average"" level of human maturity and functioning. Also, this is not just about practical, functional maturing, it's also about spiritual maturing. Christianity tends to encourage a ""child-parent"" relationship with the Divine and seeking for ""unconditional (no expectation) love."" In religions that see God as a ""guru"" or ""guruing force"" and the individual as a devotee, not just a believer, there are far more demands for self-awareness, self-discipline, and growth, or higher and higher levels of realization or understanding, including practical and spiritual maturing.",https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=UgzfH7FrjtxjUx5YG114AaABAg,No,,positive,deep,no,no,yes,no,high,
018,lex_fridman,_bBRVNkAfkQ,"Deciphering Secrets of Ancient Civilizations, Noah's Ark, and Flood Myths | Lex Fridman Podcast #492","This is one of my favorite interviews!! All of this stuff is far far out of my wheelhouse,  but there is something about listening to anothre human speak about something they are passionate about. Feeds the soul. Thanks !",https://www.youtube.com/watch?v=_bBRVNkAfkQ&lc=UgwIFfIuKX7SY-LtHDF4AaABAg,Yes,returning,positive,deep,no,no,yes,no,medium,
019,origin_story,El_MmXJnowk,BEN BARLOW (NECK DEEP) Interview: The Origin Story,"That chat at the end was great by the way, sick addition.",https://www.youtube.com/watch?v=El_MmXJnowk&lc=UgwUERjipzTJXYYcfqR4AaABAg,No,,positive,shallow,no,no,yes,no,high,
020,origin_story,El_MmXJnowk,BEN BARLOW (NECK DEEP) Interview: The Origin Story,Fantastic interviewer,https://www.youtube.com/watch?v=El_MmXJnowk&lc=Ugwhp5w1ziXev6nGkWl4AaABAg,No,,positive,shallow,no,no,yes,no,high,
021,origin_story,El_MmXJnowk,BEN BARLOW (NECK DEEP) Interview: The Origin Story,"Thanks for just letting him talk without interruption. Let's him get to the main point of what he wants to say. Top tier. 

Although your questions could've been a tad better. But great job man.",https://www.youtube.com/watch?v=El_MmXJnowk&lc=Ugx-oxqmIHJj5PkXB0N4AaABAg,No,,mixed,deep,no,no,yes,no,high,
022,origin_story,El_MmXJnowk,BEN BARLOW (NECK DEEP) Interview: The Origin Story,Another banger man ❤,https://www.youtube.com/watch?v=El_MmXJnowk&lc=Ugz-XLuu0PfV81cVcTN4AaABAg,No,,positive,shallow,yes,no,no,yes,medium,
023,origin_story,El_MmXJnowk,BEN BARLOW (NECK DEEP) Interview: The Origin Story,Loved everything about this.,https://www.youtube.com/watch?v=El_MmXJnowk&lc=UgymYZLdLsQ-UT8_0p14AaABAg,No,,positive,shallow,no,no,no,no,medium,
024,origin_story,El_MmXJnowk,BEN BARLOW (NECK DEEP) Interview: The Origin Story,I had a 10 year Punk Rock hiatus went Djing... Now I'm back making records and having fun this music is amazing bruv you and the boys are doin it. Well done.,https://www.youtube.com/watch?v=El_MmXJnowk&lc=Ugw068B8Er0N_GfLk9J4AaABAg,No,,excluded,deep,no,no,no,no,medium,
025,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD","Jimmy, I feel you for the annoying host. It will be over soon.",https://www.youtube.com/watch?v=3liKk-xC87E&lc=UgxyJztNKm54jIcPOMB4AaABAg,No,,negative,shallow,no,no,yes,no,medium,
026,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD","Thank you for this conversation! I knew it would be fun and entertaining, but it also gave me many things to think about on a deep level. Excellent job, both of you❤❤❤",https://www.youtube.com/watch?v=3liKk-xC87E&lc=UgyqXd6Sbz_z4mrCRUV4AaABAg,Yes,substantive,positive,deep,no,no,yes,no,high,
027,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD","We did it lads, we found the one person with a laugh more confected and irritating than Jimmy’s!

Good interview though",https://www.youtube.com/watch?v=3liKk-xC87E&lc=UgzPOQ93oxlUOXmkrEd4AaABAg,No,,mixed,deep,no,no,yes,no,high,
028,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD",Incredibly boring!,https://www.youtube.com/watch?v=3liKk-xC87E&lc=Ugycx2taeK6TD45DI8p4AaABAg,No,,negative,shallow,no,no,no,no,high,
029,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD","brilliant chat. i like the space you leave for Jimmy to talk in depth. great questions. great all round. have a sub & i'll be delving into yer back catalogue soon 🤓

superb",https://www.youtube.com/watch?v=3liKk-xC87E&lc=UgxBTolOlxSmrJnnTe94AaABAg,Yes,parasocial,positive,deep,no,yes,yes,no,medium,
030,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD",Never really comment nor have I seen you before but this was great! Glad you kept this podcast going man,https://www.youtube.com/watch?v=3liKk-xC87E&lc=Ugzf8pu35HURHOHddHt4AaABAg,Yes,substantive,positive,shallow,no,no,no,no,high,
031,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD",A much better show now  cheers mate,https://www.youtube.com/watch?v=3liKk-xC87E&lc=UgzdEjgh1PDWgehSH7V4AaABAg,Yes,parasocial,positive,shallow,yes,yes,no,yes,high,
032,origin_story,3liKk-xC87E,"Jimmy Carr on AI, Politics, Dopamine and ADHD","nice video .. i am glad to have come across this channel , following it for future",https://www.youtube.com/watch?v=3liKk-xC87E&lc=Ugz6qL4x_cjLAfI1tmN4AaABAg,No,,positive,shallow,no,yes,no,no,high,
033,origin_story,CdhtaaIS1u8,"Fin Taylor - Cancellation, Boarding School, Fin vs History and Bonnie Blue","An interviewer who doesn’t have main character energy. How brilliant to just say enough, but keep quiet and listen. Great work.",https://www.youtube.com/watch?v=CdhtaaIS1u8&lc=Ugz-cxzNWZp3FXNz3Bl4AaABAg,No,,positive,deep,no,no,yes,no,high,
034,origin_story,CdhtaaIS1u9,"Fin Taylor - Cancellation, Boarding School, Fin vs History and Bonnie Blue",I’m so glad my algorithm showed me this,https://www.youtube.com/watch?v=CdhtaaIS1u8&lc=UgxVm1UiwPsHVUp7o3J4AaABAg,No,,positive,shallow,no,no,no,no,high,
035,origin_story,CdhtaaIS1u10,"Fin Taylor - Cancellation, Boarding School, Fin vs History and Bonnie Blue",What a great interview. It's nice seeing genuine sincerity in a world of press junkets and grifting podcasts riding off the back of mental health to get famous. I'm glad the algorithm sent me this one,https://www.youtube.com/watch?v=CdhtaaIS1u8&lc=UgyJXp9N-B-PvKtxLG94AaABAg,No,,positive,deep,no,no,yes,no,high,
036,origin_story,CdhtaaIS1u11,"Fin Taylor - Cancellation, Boarding School, Fin vs History and Bonnie Blue","I'm salivating for a British south park, as opposed to my usual accidental salivating.

 You tapped into a different gear for Finn here,he dropped down from fifth for a while. Good job mate.",https://www.youtube.com/watch?v=CdhtaaIS1u8&lc=UgyHSlt9l4LOVPYLCKd4AaABAg,Yes,returning,positive,deep,yes,no,yes,no,high,
037,david_senra,a8LWEMD9VJA,"Tony Xu of DoorDash: Surviving 1,000 Days of Startup Hell","David, your Ads are too much, I loose context of why I clicked. I use YouTube premium already you know.",https://www.youtube.com/watch?v=a8LWEMD9VJA&lc=Ugwo7sYoLi7vpJOhXgZ4AaABAg,No,,negative,shallow,yes,no,yes,no,high,
038,david_senra,a8LWEMD9VJA,"Tony Xu of DoorDash: Surviving 1,000 Days of Startup Hell","David, can you just slow the fck down, who's chasing you while asking question? You're too cocky for my liking btw. who tf are you?",https://www.youtube.com/watch?v=a8LWEMD9VJA&lc=UgxX4vEqiFM5D0w39u54AaABAg,Yes,substantive,negative,shallow,no,no,no,no,medium,
039,david_senra,a8LWEMD9VJA,"Tony Xu of DoorDash: Surviving 1,000 Days of Startup Hell","Wow, back-to-back-to-back-to-back generational lineup by David💪",https://www.youtube.com/watch?v=a8LWEMD9VJA&lc=UgxxvEYQUyO2iiXvLhF4AaABAg,Yes,substantive,positive,shallow,yes,no,no,yes,medium,
040,david_senra,a8LWEMD9VJA,"Tony Xu of DoorDash: Surviving 1,000 Days of Startup Hell",Hey david i am 18 year old want to be founder what are 10 books you would recommand me,https://www.youtube.com/watch?v=a8LWEMD9VJA&lc=UgwwsEvuhfI7BuC7iSt4AaABAg,Yes,parasocial,neutral,shallow,yes,yes,no,no,high,
041,david_senra,a8LWEMD9VJA,"Tony Xu of DoorDash: Surviving 1,000 Days of Startup Hell",This one was really good. He's improved as an interviewer,https://www.youtube.com/watch?v=a8LWEMD9VJA&lc=UgzEnQYnfyXKUq2vBPp4AaABAg,No,,positive,shallow,no,no,yes,yes,high,
042,david_senra,a8LWEMD9VJA,"Tony Xu of DoorDash: Surviving 1,000 Days of Startup Hell",now this is my type of episode!!!! sorry david havent been watching since since last 4 after interscope records but this i shall!!!,https://www.youtube.com/watch?v=a8LWEMD9VJA&lc=UgzoBVQEOPx5MhtzVph4AaABAg,No,,mixed,deep,yes,no,yes,yes,medium,
043,david_senra,BdDCtMA1gSw,Jason Fried: Your Only Competition Is Your Costs,"This is an incredible interviewee and interviewer. I know that's such a corny thing that boomers say on YouTube comments, but I actually feel it's true here. 

The book Rework really changed my life when I read it 15 years ago. A lot of the lessons in there are still extremely relevant. (Admittedly, some I disagree with.)

Having read that book so many times, I think I've mentally undersold how much of Fried's personality I've subtly ingested into my own.",https://www.youtube.com/watch?v=BdDCtMA1gSw&lc=UgwzPXH8gEfWti9CBOh4AaABAg,No,,positive,deep,no,no,yes,no,high,
044,david_senra,BdDCtMA1gSw,Jason Fried: Your Only Competition Is Your Costs,Really I liked your podcast and i'm seeing very seriously and taking some ideas from your podcast!! I know not many know about your podcast but i'll share your channel to my friends and thank you sir !!,https://www.youtube.com/watch?v=BdDCtMA1gSw&lc=UgwvLWR1kfxi2Bs1UOd4AaABAg,Yes,substantive,positive,shallow,no,yes,no,no,medium,
045,david_senra,BdDCtMA1gSw,Jason Fried: Your Only Competition Is Your Costs,"My favorite one so far. You let him talk, and he launches non-stop wisdom-in-plain-words bricks into my windshield of ignorance.",https://www.youtube.com/watch?v=BdDCtMA1gSw&lc=UgzL3nzZSCe_VFByGcV4AaABAg,No,,positive,deep,no,no,yes,no,high,
046,david_senra,BdDCtMA1gSw,Jason Fried: Your Only Competition Is Your Costs,Such a liberating interview.,https://www.youtube.com/watch?v=BdDCtMA1gSw&lc=UgzX8K0CLNWlOyoD02Z4AaABAg,No,,positive,shallow,no,no,no,no,medium,
047,david_senra,BdDCtMA1gSw,Jason Fried: Your Only Competition Is Your Costs,"Wow- insane number of ads on this episode.
Love Senra’s interviews though",https://www.youtube.com/watch?v=BdDCtMA1gSw&lc=Ugx7tXzayXJLNY9RA6Z4AaABAg,No,,mixed,shallow,no,no,yes,yes,high,
048,david_senra,BdDCtMA1gSw,Jason Fried: Your Only Competition Is Your Costs,"I can’t tell you the last time I watched an interview, especially this long, that was so intriguing and entertaining. I found myself looking forward to the next question and the next answer through the entire piece. Good job both of you!",https://www.youtube.com/watch?v=BdDCtMA1gSw&lc=UgxHq22OJgQWJYsLVl54AaABAg,Yes,behavioural,positive,deep,no,no,yes,no,high,
049,david_senra,U8zqsiePKsg,John Mackey: 44 Years of Building Whole Foods,"Are you gonna interview a woman, or is that not really your vibe",https://www.youtube.com/watch?v=U8zqsiePKsg&lc=UgzOXDQBPSHEBp9gPrh4AaABAg,No,,negative,shallow,no,no,no,no,high,
050,david_senra,U8zqsiePKsg,John Mackey: 44 Years of Building Whole Foods,wish you let John finish his money means freedom point :( it's okay tho,https://www.youtube.com/watch?v=U8zqsiePKsg&lc=Ugwc5UPr-tppoiM_jKZ4AaABAg,Yes,sentiment,negative,shallow,no,no,yes,no,medium,
051,david_senra,U8zqsiePKsg,John Mackey: 44 Years of Building Whole Foods,This was so awesome. Did not at all feel like a staged podcast. It felt like two friends talking and I was sitting at the table beside them listening in. Nice job gentlemen,https://www.youtube.com/watch?v=U8zqsiePKsg&lc=UgxoLnDAI9JAKGyv57F4AaABAg,Yes,depth,positive,deep,no,no,yes,no,medium,
052,david_senra,U8zqsiePKsg,John Mackey: 44 Years of Building Whole Foods,Each episode is a 🎯Well done David,https://www.youtube.com/watch?v=U8zqsiePKsg&lc=Ugwru7hJWiU5eg6uN_h4AaABAg,No,,positive,shallow,yes,no,no,yes,high,
053,david_senra,U8zqsiePKsg,John Mackey: 44 Years of Building Whole Foods,Learning  so many thing ❤,https://www.youtube.com/watch?v=U8zqsiePKsg&lc=UgzQEJZPlG8VhnfUg4V4AaABAg,No,,positive,shallow,no,no,no,no,high,
054,david_senra,U8zqsiePKsg,John Mackey: 44 Years of Building Whole Foods,this podcast is awesome.  But minutes 48-51 every single American needs to listen to.  It’s so important for everyone to understand.  Great Interview.,https://www.youtube.com/watch?v=U8zqsiePKsg&lc=Ugy4d2KUhN_2BTbFyOh4AaABAg,Yes,behavioural,positive,deep,no,no,yes,no,medium,