comment_id,sentiment_match,depth_match,parasocial_match,behavioural_match,substantive_match,returning_match,all_match,,
001,1,1,100.00%,1,1,1,1,,290
002,1,1,0.00%,1,1,1,0,,
003,1,1,0.00%,0,1,1,0,,
004,1,0,100.00%,1,1,1,0,,
005,0,1,100.00%,1,1,1,0,,
006,1,1,100.00%,1,1,1,1,,
007,1,1,100.00%,1,1,1,1,,
008,0,1,100.00%,1,1,1,0,,
009,1,1,100.00%,1,0,0,0,,
010,1,1,100.00%,1,1,1,1,,
011,1,1,100.00%,0,1,1,0,,
012,1,1,100.00%,1,0,1,0,,
013,1,1,100.00%,1,1,1,1,,
014,1,1,100.00%,1,1,1,1,,
015,1,1,100.00%,0,1,1,0,,
016,1,1,100.00%,1,1,1,1,,
017,0,1,100.00%,1,1,1,0,,
018,1,1,100.00%,1,1,1,1,,
019,1,1,100.00%,1,1,1,1,,
020,1,1,100.00%,1,1,1,1,,
021,1,1,100.00%,1,1,1,1,,
022,1,1,0.00%,1,1,0,0,,
023,1,1,100.00%,1,1,1,1,,
024,1,1,100.00%,1,1,1,1,,
025,0,1,100.00%,1,1,1,0,,
026,1,1,100.00%,1,1,1,1,,
027,1,0,100.00%,1,0,1,0,,
028,1,1,100.00%,1,1,1,1,,
029,1,1,100.00%,1,1,1,1,,
030,1,1,100.00%,1,1,1,1,,
031,1,1,0.00%,0,1,1,0,,
032,1,1,100.00%,0,1,1,0,,
033,1,1,100.00%,1,1,1,1,,
034,1,1,100.00%,1,1,1,1,,
035,1,1,100.00%,1,1,1,1,,
036,1,1,0.00%,1,1,1,0,,
037,1,1,100.00%,1,0,1,0,,
038,1,1,0.00%,1,1,1,0,,
039,1,1,100.00%,1,1,0,0,,
040,1,1,100.00%,0,1,1,0,,
041,1,1,100.00%,1,1,1,1,,
042,0,0,100.00%,1,1,1,0,,
043,1,1,100.00%,0,1,1,0,,
044,1,0,100.00%,1,1,1,0,,
045,1,1,100.00%,1,0,1,0,,
046,1,1,100.00%,1,1,1,1,,
047,1,1,100.00%,1,0,0,0,,
048,1,1,100.00%,1,1,1,1,,
049,1,1,100.00%,1,1,1,1,,
050,0,1,100.00%,1,1,1,0,,
051,1,1,100.00%,1,0,1,0,,
052,1,1,100.00%,1,1,1,1,,
053,1,1,100.00%,1,1,1,1,,
054,1,1,100.00%,1,1,1,1,,
,,,,,,,,,
Component,Agreements,Disagreements,Agreement Rate,Threshold,Status,,,,
Sentiment,48,6,88.89%,0.85,PASS,,,,
Depth,50,4,92.59%,0.85,PASS,,,,
Parasocial,4800.00%,600.00%,88.89%,0.85,PASS,,,,
Behavioural Change,47,7,87.04%,0.85,PASS,,,,
Substantive Engagement,47,7,87.04%,0.85,PASS,,,,
Returning Listener,50,4,92.59%,0.85,PASS,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
comment_id,comment_text,my_label,ai_label,is_edge_case,edge_case_component,,,,
009,"Why does lex have so many advertisements, Joe Rogan is at most 2, these go on forever",yes,no,Yes,returning,,,,
012,"I loved this podcast. I am a regular guy, retired laborer, fascinated with all that Dr Kirtly talked about. He is so energetic and somewhat easy to understand. I would like to see more podcasts like this. Thank you!",no,yes,No,,,,,
027,"We did it lads, we found the one person with a laugh more confected and irritating than Jimmy’s!

Good interview though",yes,no,No,,,,,
037,"David, your Ads are too much, I loose context of why I clicked. I use YouTube premium already you know.",yes,no,No,,,,,
045,"My favorite one so far. You let him talk, and he launches non-stop wisdom-in-plain-words bricks into my windshield of ignorance.",yes,no,Yes,substantive,,,,
047,"Wow- insane number of ads on this episode.
Love Senra’s interviews though",yes,no,No,,,,,
051,This was so awesome. Did not at all feel like a staged podcast. It felt like two friends talking and I was sitting at the table beside them listening in. Nice job gentlemen,yes,no,Yes,substantive,,,,