comment_id,comment_text
001,This video and audio quality is fire
002,"Appreciate the work, mate.... NVIDIA Biggest competitor coming soon from me ... I hope NVIDIA is prepared"
003,USED TO LOVE LEX UNTIL HE SHOWED HIMSELF TO BE A TOTAL FUCKING IDIOT.
004,Lex looks younger than he did when he started this podcast! Good work sir!
005,"I respectfully disagree. Jensen himself admits that the odds of agents building a company of Nvidia's complexity are 0%. If a system cannot replicate the multi-disciplinary, long-term strategic reasoning required to build a complex hardware-software ecosystem like Nvidia, it suggests we are still in the era of ""Narrow"" or ""Task-Oriented"" AI, rather than ""General"" AI."
006,"Amazing interview, love the ending."
007,I'm a physics professor. I was so bored at the start and by the end I wanted to leave academia to go work at Helion. This guy's enthusiasm is contagious.
008,I love how David talks about building a bunch of prototypes and that in the long run you make more progress. That is why SpaceX is so successful.  There first Starship prototype was thought to be a water tower.  Arguments went on for weeks until one day is was clear to everyone it was a rocket.  SpaceX then went about building and blowing up a lot of prototypes and now Starship is finally building block 3 which will be production.     Wish the best to David and his team and keep those prototypes going until you're finally ready to build a working generator that can power a datacenter.  That will be very cool to see.
009,"Why does lex have so many advertisements, Joe Rogan is at most 2, these go on forever"
010,Lots of talk. No result
011,"I'm currently in 9th grade, and discovered a video featuring Helion while in Science class on YouTube. XD Ever since that, I've been really intrigued and interested in nuclear fusion and fission. My dad listens to your podcasts, and I just happened to overhear him playing this, which is why I am now here, listening to this podcast. I usually don't listen to podcasts, but this has piqued my interest. Thank you, Lex. : >"
012,"I loved this podcast. I am a regular guy, retired laborer, fascinated with all that Dr Kirtly talked about. He is so energetic and somewhat easy to understand. I would like to see more podcasts like this. Thank you!"
013,This podcast has become 1D
014,Great conversation!!
015,What was this picture of films and books? 2:00:03
016,This video changed my life. And I could listen to this man talk for any amount of time.
017,"1:03:35 ""We're all infantile..."" because our culture (especially Western/American culture) does not have mechanisms or expectations that actually move the majority of people to grow into truly Mature human beings. Most of our ideas about ""human nature"" are based on our observations of immature humans, and thinking, ""That's as good as it gets."" This becomes more obvious if you have had reason or opportunity to mature beyond that ""average"" level of human maturity and functioning. Also, this is not just about practical, functional maturing, it's also about spiritual maturing. Christianity tends to encourage a ""child-parent"" relationship with the Divine and seeking for ""unconditional (no expectation) love."" In religions that see God as a ""guru"" or ""guruing force"" and the individual as a devotee, not just a believer, there are far more demands for self-awareness, self-discipline, and growth, or higher and higher levels of realization or understanding, including practical and spiritual maturing."
018,"This is one of my favorite interviews!! All of this stuff is far far out of my wheelhouse,  but there is something about listening to anothre human speak about something they are passionate about. Feeds the soul. Thanks !"
019,"That chat at the end was great by the way, sick addition."
020,Fantastic interviewer
021,Thanks for just letting him talk without interruption. Let's him get to the main point of what he wants to say. Top tier.   Although your questions could've been a tad better. But great job man.
022,Another banger man ❤
023,Loved everything about this.
024,I had a 10 year Punk Rock hiatus went Djing... Now I'm back making records and having fun this music is amazing bruv you and the boys are doin it. Well done.
025,"Jimmy, I feel you for the annoying host. It will be over soon."
026,"Thank you for this conversation! I knew it would be fun and entertaining, but it also gave me many things to think about on a deep level. Excellent job, both of you❤❤❤"
027,"We did it lads, we found the one person with a laugh more confected and irritating than Jimmy’s!  Good interview though"
028,Incredibly boring!
029,brilliant chat. i like the space you leave for Jimmy to talk in depth. great questions. great all round. have a sub & i'll be delving into yer back catalogue soon 🤓  superb
030,Never really comment nor have I seen you before but this was great! Glad you kept this podcast going man
031,A much better show now  cheers mate
032,"nice video .. i am glad to have come across this channel , following it for future"
033,"An interviewer who doesn’t have main character energy. How brilliant to just say enough, but keep quiet and listen. Great work."
034,I’m so glad my algorithm showed me this
035,What a great interview. It's nice seeing genuine sincerity in a world of press junkets and grifting podcasts riding off the back of mental health to get famous. I'm glad the algorithm sent me this one
036,"I'm salivating for a British south park, as opposed to my usual accidental salivating.   You tapped into a different gear for Finn here,he dropped down from fifth for a while. Good job mate."
037,"David, your Ads are too much, I loose context of why I clicked. I use YouTube premium already you know."
038,"David, can you just slow the fck down, who's chasing you while asking question? You're too cocky for my liking btw. who tf are you?"
039,"Wow, back-to-back-to-back-to-back generational lineup by David💪"
040,Hey david i am 18 year old want to be founder what are 10 books you would recommand me
041,This one was really good. He's improved as an interviewer
042,now this is my type of episode!!!! sorry david havent been watching since since last 4 after interscope records but this i shall!!!
043,"This is an incredible interviewee and interviewer. I know that's such a corny thing that boomers say on YouTube comments, but I actually feel it's true here.   The book Rework really changed my life when I read it 15 years ago. A lot of the lessons in there are still extremely relevant. (Admittedly, some I disagree with.)  Having read that book so many times, I think I've mentally undersold how much of Fried's personality I've subtly ingested into my own."
044,Really I liked your podcast and i'm seeing very seriously and taking some ideas from your podcast!! I know not many know about your podcast but i'll share your channel to my friends and thank you sir !!
045,"My favorite one so far. You let him talk, and he launches non-stop wisdom-in-plain-words bricks into my windshield of ignorance."
046,Such a liberating interview.
047,Wow- insane number of ads on this episode. Love Senra’s interviews though
048,"I can’t tell you the last time I watched an interview, especially this long, that was so intriguing and entertaining. I found myself looking forward to the next question and the next answer through the entire piece. Good job both of you!"
049,"Are you gonna interview a woman, or is that not really your vibe"
050,wish you let John finish his money means freedom point :( it's okay tho
051,This was so awesome. Did not at all feel like a staged podcast. It felt like two friends talking and I was sitting at the table beside them listening in. Nice job gentlemen
052,Each episode is a 🎯Well done David
053,Learning  so many thing ❤
054,this podcast is awesome.  But minutes 48-51 every single American needs to listen to.  It’s so important for everyone to understand.  Great Interview.